Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
479,480,Patrick David Gillespie,Texas,Representative,33,GOP,Patrick David Gillespie,GILLESPIE,33,TX,NA,NA,NA,H2TX33248,
480,481,Mayra Flores,Texas,Representative,34,GOP,Mayra Flores,FLORES,34,TX,2843,"FLORES, MAYRA NOHEMI",REP,H2TX34113,
481,482,Dan McQueen,Texas,Representative,35,GOP,Dan McQueen,MCQUEEN,35,TX,2854,"MCQUEEN, ELDON DAN",REP,H0TX20124,
482,483,Brian Babin,Texas,Representative,36,GOP,Brian Babin,BABIN,36,TX,2864,"BABIN, BRIAN",REP,H6TX02079,
483,484,Jenny Garcia Sharon,Texas,Representative,37,GOP,Jenny Garcia Sharon,SHARON,37,TX,2870,"SHARON, JENNIFER",REP,H0TX35064,
484,485,Wesley Hunt,Texas,Representative,38,GOP,Wesley Hunt,HUNT,38,TX,2875,"HUNT, WESLEY",REP,H0TX07170,
485,486,Todd Young,Indiana,Senator,N/A,GOP,Todd Young,YOUNG,0,IN,3466,"YOUNG, TODD CHRISTOPHER",REP,S6IN00191,
486,487,Jennifer-Ruth Green,Indiana,Representative,1,GOP,Jennifer-Ruth Green,GREEN,1,IN,1033,"GREEN, JENNIFER-RUTH",REP,H2IN01172,
487,488,Jackie Walorski,Indiana,Representative,2,GOP,Jackie Walorski,WALORSKI,2,IN,1040,"WALORSKI SWIHART, JACKIE",REP,H0IN02190,
488,489,Jim Banks,Indiana,Representative,3,GOP,Jim Banks,BANKS,3,IN,1047,"BANKS, JAMES E HON.",REP,H6IN03229,
489,490,Jim Baird,Indiana,Representative,4,GOP,Jim Baird,BAIRD,4,IN,1052,"BAIRD, JAMES R DR.",REP,H8IN04199,
490,491,Victoria Spartz,Indiana,Representative,5,GOP,Victoria Spartz,SPARTZ,5,IN,1061,"SPARTZ, VICTORIA",REP,H0IN05326,
491,492,Greg Pence,Indiana,Representative,6,GOP,Greg Pence,PENCE,6,IN,1069,"PENCE, GREGORY J.",REP,H8IN06129,
492,493,Angela Grabovsky,Indiana,Representative,7,GOP,Angela Grabovsky,GRABOVSKY,7,IN,1072,"GRABOVSKY, ANGELA",REP,H2IN07179,
493,494,Larry D. Bucshon,Indiana,Representative,8,GOP,Larry D. Bucshon,BUCSHON,8,IN,1077,"BUCSHON, LARRY D.",REP,H0IN08114,
494,495,Erin Houchin,Indiana,Representative,9,GOP,Erin Houchin,HOUCHIN,9,IN,1090,"HOUCHIN, ERIN",REP,H6IN09143,
495,496,J.D. Vance,Ohio,Senator,N/A,GOP,J.D. Vance,VANCE,0,OH,3708,"VANCE, J D",REP,S2OH00436,
