"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"303","Kirsten Engel","Female","White","","","No","No","Arizona","8/2/22","Representative","6","54,060","59%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"303"
"304","Raúl Grijalva","Male","Latino (Mexican)","","","Yes","No","Arizona","8/2/22","Representative","7","62,547","100%","Won","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"304"
"305","Mark R. Holland","Male","White","","","No","No","Kansas","8/2/22","Senator","N/A","101,429","38%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"305"
"306","James ""Jimmy"" Beard","Male","White","","","No","No","Kansas","8/2/22","Representative","1","42,589","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"306"
"307","Patrick Schmidt","Male","White","","","No","No","Kansas","8/2/22","Representative","2","54,439","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"307"
"308","Sharice Davids","Female","Native American (Ho-Chunk)","","","Yes","No","Kansas","8/2/22","Representative","3","103,945","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"308"
"309","Bob Hernandez","Male","Latino","","","No","No","Kansas","8/2/22","Representative","4","42,222","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"309"
"310","Bob Lorinser","Male","White","","","No","No","Michigan","8/2/22","Representative","1","67,251","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"310"
"311","Jerry Hilliard","Male","White","","","No","No","Michigan","8/2/22","Representative","2","40,952","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"311"
"312","Hillary Scholten","Female","White","","","No","No","Michigan","8/2/22","Representative","3","59,661","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"312"
"313","Bart Goldberg","Male","White","","","No","No","Michigan","8/2/22","Representative","5","39,971","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"313"
"314","Debbie Dingell","Female","White","","","Yes","No","Michigan","8/2/22","Representative","6","102,859","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"314"
"315","Elissa Slotkin","Female","White","","","Yes","No","Michigan","8/2/22","Representative","7","77,826","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"315"
"316","Daniel T. Kildee","Male","White","","","Yes","No","Michigan","8/2/22","Representative","8","70,791","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"316"
"317","Brian Jaye","Male","White","","","No","No","Michigan","8/2/22","Representative","9","48,802","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"317"
"318","Carl J. Marlinga","Male","White","","","No","No","Michigan","8/2/22","Representative","10","32,653","48%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"318"
"319","Haley Stevens","Female","White","","","Yes","Yes","Michigan","8/2/22","Representative","11","70,508","60%","Won","N/A","N/A","N/A","Yes","N/A","No","No","No","No","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"319"
"320","Rashida Tlaib","Female","Middle Eastern (Palestinian)","","","Yes","No","Michigan","8/2/22","Representative","12","61,635","64%","Won","N/A","N/A","N/A","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"320"
"321","Shri Thanedar","Male","Asian (Indian)","","","No","No","Michigan","8/2/22","Representative","13","22,314","28%","Won","N/A","N/A","N/A","No","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"321"
"322","Trudy Busch Valentine","Female","White","","","No","No","Missouri","8/2/22","Senator","N/A","158,957","43%","Won","N/A","N/A","N/A","N/A","N/A","No","No","N/A","N/A","No","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"322"
"323","Cori Bush","Female","Black","","","Yes","No","Missouri","8/2/22","Representative","1","65,326","69%","Won","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"323"
"324","Trish Gunby","Female","White","","","No","No","Missouri","8/2/22","Representative","2","50,457","85%","Won","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"324"
"325","Bethany Mann","Female","White","","","No","No","Missouri","8/2/22","Representative","3","22,638","62%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"325"
"326","Jack Truman","Male","White","","","No","No","Missouri","8/2/22","Representative","4","25,641","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"326"
"327","Emanuel Cleaver II","Male","Black","","","Yes","No","Missouri","8/2/22","Representative","5","60,399","86%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"327"
"328","Henry Martin","Male","Black","","","No","No","Missouri","8/2/22","Representative","6","13,488","46%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"328"
"329","Kristen Radaker-Sheafer","Female","White","","","No","No","Missouri","8/2/22","Representative","7","13,680","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"329"
"330","Randi McCallian","Female","White","","","No","No","Missouri","8/2/22","Representative","8","16,691","100%","Won","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"330"
"331","Patty Murray","Female","White","","","Yes","No","Washington","8/2/22","Senator","N/A","1,002,811","94%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"331"
"332","Suzan DelBene","Female","White","","","Yes","No","Washington","8/2/22","Representative","1","102,857","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"332"
"333","Rick Larsen","Male","White","","","Yes","No","Washington","8/2/22","Representative","2","100,631","76%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"333"
"334","Marie Gluesenkamp Perez","Female","White","Latino (Mexican)","","No","No","Washington","8/2/22","Representative","3","68,190","93%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"334"
"335","Doug White","Male","White","","","No","No","Washington","8/2/22","Representative","4","37,760","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"335"
"336","Natasha Hill","Female","Black","","","No","No","Washington","8/2/22","Representative","5","61,851","75%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"336"
"337","Derek Kilmer","Male","White","","","Yes","No","Washington","8/2/22","Representative","6","115,725","84%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"337"
"338","Pramila Jayapal","Female","Asian (Indian)","","","Yes","No","Washington","8/2/22","Representative","7","177,665","100%","Won","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"338"
"339","Kim Schrier","Female","White","","","Yes","No","Washington","8/2/22","Representative","8","97,700","97%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"339"
"340","Adam Smith","Male","White","","","Yes","No","Washington","8/2/22","Representative","9","78,272","78%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"340"
"341","Marilyn Strickland","Female","Black","","","Yes","No","Washington","8/2/22","Representative","10","90,093","96%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"341"
"342","Cameron Parsons","Male","White","","","No","No","Tennessee","8/4/22","Representative","1","6,099","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"342"
"343","Mark Harmon","Male","White","","","No","No","Tennessee","8/4/22","Representative","2","24,879","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"343"
"344","Meg Gorman","Female","White","","","No","No","Tennessee","8/4/22","Representative","3","22,208","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"344"
"345","Wayne Steele","Male","White","","","No","No","Tennessee","8/4/22","Representative","4","11,168","65%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"345"
"346","Heidi Campbell","Female","White","","","No","No","Tennessee","8/4/22","Representative","5","30,830","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"346"
"347","Randal Cooper","Male","White","","","No","No","Tennessee","8/4/22","Representative","6","17,332","75%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"347"
"348","Odessa Kelly","Female","Black","","","No","No","Tennessee","8/4/22","Representative","7","24,854","100%","Won","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"348"
"349","Lynnette P. Williams","Female","Black","","","No","No","Tennessee","8/4/22","Representative","8","15,819","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"349"
"350","Steve Cohen","Male","White","","","Yes","No","Tennessee","8/4/22","Representative","9","62,055","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"350"
"351","Richard Blumenthal","Male","White","","","Yes","No","Connecticut","8/9/22","Senator","N/A","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"351"
"352","John B. Larson","Male","White","","","Yes","No","Connecticut","8/9/22","Representative","1","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"352"
"353","Joe Courtney","Male","White","","","Yes","No","Connecticut","8/9/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"353"
"354","Rosa L. DeLauro","Female","White","","","Yes","No","Connecticut","8/9/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"354"
"355","Jim Himes","Male","White","","","Yes","No","Connecticut","8/9/22","Representative","4","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"355"
"356","Jahana Hayes","Female","Black","","","Yes","No","Connecticut","8/9/22","Representative","5","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"356"
"357","Jeff Ettinger","Male","White","","","No","No","Minnesota","8/9/22","Representative","1","51,391","92%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"357"
"358","Angie Craig","Female","White","","","Yes","No","Minnesota","8/9/22","Representative","2","1","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"358"
"359","Dean Phillips","Male","White","","","Yes","No","Minnesota","8/9/22","Representative","3","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"359"
"360","Betty McCollum","Female","White","","","Yes","No","Minnesota","8/9/22","Representative","4","58,043","83%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"360"
"361","Ilhan Omar","Female","Black (Somali)","","","Yes","No","Minnesota","8/9/22","Representative","5","57,683","50%","Won","N/A","N/A","N/A","N/A","Yes","Yes","Yes","Yes","Yes","Yes","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"361"
"362","Jeanne Hendricks","Female","White","","","No","No","Minnesota","8/9/22","Representative","6","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"362"
"363","Jill Abahsain","Female","White","","","No","No","Minnesota","8/9/22","Representative","7","14,352","59%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"363"
"364","Jen Schultz","Female","White","","","No","No","Minnesota","8/9/22","Representative","8","38,545","86%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"364"
"365","Peter Welch","Male","White","","","No","No","Vermont","8/9/22","Senator","N/A","86,603","85%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"365"
"366","Becca Balint","Female","White","","","No","No","Vermont","8/9/22","Representative","At-Large","61,025","60%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"366"
"367","Mandela Barnes","Male","Black","","","No","No","Wisconsin","8/9/22","Senator","N/A","390,279","78%","Won","N/A","N/A","N/A","N/A","N/A","Yes","Yes","N/A","N/A","Yes","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"367"
"368","Ann Roe","Female","White","","","No","No","Wisconsin","8/9/22","Representative","1","48,148","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"368"
"369","Mark Pocan","Male","White","","","Yes","No","Wisconsin","8/9/22","Representative","2","106,595","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"369"
"370","Brad Pfaff","Male","White","","","No","No","Wisconsin","8/9/22","Representative","3","24,041","39%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"370"
"371","Gwen Moore","Female","Black","","","Yes","No","Wisconsin","8/9/22","Representative","4","72,845","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"371"
"372","Mike Van Someren","Male","White","","","No","No","Wisconsin","8/9/22","Representative","5","44,305","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"372"
"373","Richard ""Dick"" Ausman","Male","White ","","","No","No","Wisconsin","8/9/22","Representative","7","43,265","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"373"
"374","Brian Schatz","Male","White","","","Yes","No","Hawaii","8/13/22","Senator","N/A","228,595","94%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"374"
"375","Ed Case","Male","White","","","Yes","No","Hawaii","8/13/22","Representative","1","100,667","83%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"375"
"376","Jill N. Tokuda","Female","Asian","","","No","No","Hawaii","8/13/22","Representative","2","62,275","58%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"376"
"377","Patricia R. Chesbro","Female","White","","","No","No","Alaska","8/16/22","Senator","N/A","12,989","77%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"377"
"378","Mary S. Peltola","Female","Native American (Yupik)","","","No","No","Alaska","8/16/22","Representative","At-Large","70,295","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"378"
"379","Lynnette GreyBull","Female","Native American (Arapaho)","","","No","No","Wyoming","8/16/22","Representative","At-Large","4,507","59%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"379"
"380","Val Demings","Female","Black","","","No","No","Florida","8/23/22","Senator","N/A","1,263,706","84%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"380"
"381","Rebekah Jones","Female","White","","","No","No","Florida","8/23/22","Representative","1","21,875","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"381"
"382","Al Lawson","Male","Black","","","Yes","No","Florida","8/23/22","Representative","2","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"382"
"383","Danielle Hawk","Female","White","","","No","No","Florida","8/23/22","Representative","3","37,181","68%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"383"
"384","LaShonda ""L.J."" Holloway","Female","Black","","","No","No","Florida","8/23/22","Representative","4","29,352","50%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"384"
"385","Karen Green","Female","Black","","","No","No","Florida","8/23/22","Representative","7","23,051","45%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"385"
"386","Joanne Terry","Female","White","","","No","No","Florida","8/23/22","Representative","8","29,542","55%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"386"
"387","Darren Soto","Male","Latino (Puerto Rican)","","","Yes","No","Florida","8/23/22","Representative","9","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"387"
"388","Maxwell Alejandro Frost","Male","Black","Latino (Cuban)","","No","No","Florida","8/23/22","Representative","10","19,288","35%","Won","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"388"
"389","Shante Munns","Female","Black","","","No","No","Florida","8/23/22","Representative","11","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"389"
"390","Kimberly Walker","Female","Black","","","No","No","Florida","8/23/22","Representative","12","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"390"
"391","Eric Lynn","Male","White","","","No","No","Florida","8/23/22","Representative","13","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"391"
"392","Kathy Castor","Female","White","","","Yes","No","Florida","8/23/22","Representative","14","62,562","90%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"392"
"393","Alan M. Cohn","Male","White","","","No","No","Florida","8/23/22","Representative","15","14,928","33%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"393"
"394","Jan Schneider","Female","White","","","No","No","Florida","8/23/22","Representative","16","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"394"
"395","Andrea Doria Kale","Female","White","","","No","No","Florida","8/23/22","Representative","17","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"395"
"396","Cindy Banyai","Female","White","","","No","No","Florida","8/23/22","Representative","19","1","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"396"
