"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"2525","2525","LEE, WILLIAM BAXTER","REP","H2TN05354","TN","5","LEE","GOP"
"2526","2526","ORTAGUS, MORGAN","REP","H2TN05362","TN","5","ORTAGUS","GOP"
"2527","2527","WINSTEAD, KURT","REP","H2TN05370","TN","5","WINSTEAD","GOP"
"2528","2528","BATCHELOR, GENI MRS.","REP","H2TN05396","TN","5","BATCHELOR","GOP"
"2529","2529","HARWELL, BETH","REP","H2TN05404","TN","5","HARWELL","GOP"
"2530","2530","LEE, TIMOTHY BRUCE","REP","H2TN05420","TN","5","LEE","GOP"
"2531","2531","OGLES, ANDY","REP","H2TN05446","TN","5","OGLES","GOP"
"2532","2532","WITTUM, CHARLES GARFIELD III","REP","H2TN05453","TN","5","WITTUM","GOP"
"2533","2533","PARKS, STEWART THOMAS","REP","H2TN05461","TN","5","PARKS","GOP"
"2534","2534","BEIERLEIN, JEFF","REP","H2TN05479","TN","5","BEIERLEIN","GOP"
"2535","2535","COOPER, RANDAL DEAN","DEM","H2TN06162","TN","6","COOPER","DEM"
"2536","2536","GORDON, BART","DEM","H4TN04015","TN","6","GORDON","DEM"
"2537","2537","KENT, DAVID W.","DEM","H6TN06155","TN","6","KENT","DEM"
"2538","2538","ZELENIK, LOU ANN","REP","H0TN06224","TN","6","ZELENIK","GOP"
"2539","2539","BLACK, DIANE L MRS.","REP","H0TN06257","TN","6","BLACK","GOP"
"2540","2540","MATHENY, JUDD","REP","H8TN06086","TN","6","MATHENY","GOP"
"2541","2541","ROSE, JOHN W.","REP","H8TN06094","TN","6","ROSE","GOP"
"2542","2542","BLACKBURN, MARSHA MRS.","REP","H2TN06030","TN","7","BLACKBURN","GOP"
"2543","2543","GREEN, MARK DR.","REP","H8TN07076","TN","7","GREEN","GOP"
"2544","2544","BROWN, RONALD MR","IAP","H0TN07271","TN","7","BROWN","IAP"
"2545","2545","WILLIAMS, LYNNETTE","DEM","H2TN08184","TN","8","WILLIAMS","DEM"
"2546","2546","STOTTS-PEARSON, ERIKA","DEM","H6TN08250","TN","8","STOTTS-PEARSON","DEM"
"2547","2547","FINCHER, STEVE MR.","REP","H0TN08246","TN","8","FINCHER","GOP"
"2548","2548","KUSTOFF, DAVID","REP","H2TN07103","TN","8","KUSTOFF","GOP"
"2549","2549","HENDRY, ROBERT LOUIS MR.","REP","H2TN08150","TN","8","HENDRY","GOP"
"2550","2550","CLOUSE, GARY DEAN DR.","REP","H2TN08168","TN","8","CLOUSE","GOP"
"2551","2551","MILLS, JOHN JOHN","REP","H4TN08099","TN","8","MILLS","GOP"
"2552","2552","KELSEY, BRIAN","REP","H6TN08151","TN","8","KELSEY","GOP"
"2553","2553","LUTTRELL, MARK H JR","REP","H6TN08177","TN","8","LUTTRELL","GOP"
"2554","2554","GREER, JOHN BRADLEY MR","REP","H6TN08185","TN","8","GREER","GOP"
"2555","2555","LEATHERWOOD, THOMAS F III","REP","H8TN07043","TN","8","LEATHERWOOD","GOP"
"2556","2556","HART, JAMES","IND","H2TN08077","TN","8","HART","IND"
"2557","2557","COHEN, STEVE I MR.","DEM","H6TN09068","TN","9","COHEN","DEM"
"2558","2558","BERGMANN, CHARLOTTE","REP","H0TN09061","TN","9","BERGMANN","GOP"
"2559","2559","DUDLEY, CHARLES BROWN IV","REP","H2TN09216","TN","9","DUDLEY","GOP"
"2560","2560","FLINN, GEORGE S DR JR","IND","H0TN08287","TN","9","FLINN","IND"
"2561","2561","CRAIN, MARK BREWER","IND","H2TN09208","TN","9","CRAIN","IND"
"2562","2562","RECTOR, CHRISTOPHER D.","NNE","H2TX12093","TX","0","RECTOR","NNE"
"2563","2563","GILBERT, HANK","DEM","H0TX01108","TX","1","GILBERT","DEM"
"2564","2564","JEFFERSON, JRMAR","DEM","H2TX01146","TX","1","JEFFERSON","DEM"
"2565","2565","KOCEN, STEPHEN MARTIN","DEM","H2TX01153","TX","1","KOCEN","DEM"
"2566","2566","ATHOLI, ADITYA","REP","H2TX01104","TX","1","ATHOLI","GOP"
"2567","2567","MORAN, NATHANIEL QUENTIN","REP","H2TX01112","TX","1","MORAN","GOP"
"2568","2568","PORRO, JOHN CHARLES MR.","REP","H2TX32125","TX","1","PORRO","GOP"
"2569","2569","GOHMERT, LOUIS","REP","H4TX04039","TX","1","GOHMERT","GOP"
"2570","2570","WINSTON, SIMON WOOD","REP","H6TX01246","TX","1","WINSTON","GOP"
"2571","2571","LADJEVARDIAN, SIMA JANDAGHI","DEM","H0TX02106","TX","2","LADJEVARDIAN","DEM"
"2572","2572","REID, RAYNA","DEM","H2TX02136","TX","2","REID","DEM"
"2573","2573","FULFORD, ROBIN DAWN","DEM","H2TX02383","TX","2","FULFORD","DEM"
"2574","2574","TURNER, JIM","DEM","H6TX02095","TX","2","TURNER","DEM"
"2575","2575","BRYAN, PAT","DEM","H6TX02160","TX","2","BRYAN","DEM"
"2576","2576","BILLAND, MICHAEL ALAN","REP","H2TX02110","TX","2","BILLAND","GOP"
"2577","2577","LANGELLA, LEWIS MILAM","REP","H2TX02417","TX","2","LANGELLA","GOP"
"2578","2578","ELLIS, JAMESON","REP","H2TX08158","TX","2","ELLIS","GOP"
"2579","2579","ETWOP, MARTIN","REP","H2TX08232","TX","2","ETWOP","GOP"
"2580","2580","CRENSHAW, DANIEL","REP","H8TX02166","TX","2","CRENSHAW","GOP"
"2581","2581","SPIERS, JON P DR","REP","H8TX02208","TX","2","SPIERS","GOP"
"2582","2582","SCHEIRMAN, ELLIOTT ROBERT","LIB","H0TX02114","TX","2","SCHEIRMAN","LIB"
"2583","2583","SEIKALY, HELANE LULU SAWSAN","DEM","H0TX03120","TX","3","SEIKALY","DEM"
"2584","2584","TUCKER, TERRY","DEM","H2TX03266","TX","3","TUCKER","DEM"
"2585","2585","SRIVASTAVA, SANDEEP KUMAR","DEM","H2TX03274","TX","3","SRIVASTAVA","DEM"
"2586","2586","BURCH, LORIE","DEM","H8TX03099","TX","3","BURCH","DEM"
"2587","2587","SELF, KEITH ALAN MR","REP","H2TX03290","TX","3","SELF","GOP"
"2588","2588","WILLIAMS, RICKEY","REP","H2TX03308","TX","3","WILLIAMS","GOP"
"2589","2589","IVANOVSKIS, JEREMY DANIEL","REP","H2TX03316","TX","3","IVANOVSKIS","GOP"
"2590","2590","TAYLOR, NICHOLAS V.","REP","H8TX03123","TX","3","TAYLOR","GOP"
"2591","2591","SHELBY, DOC MR","DEM","H2TX04116","TX","4","SHELBY","DEM"
"2592","2592","OMERE, IROGHAMA C","DEM","H2TX04124","TX","4","OMERE","DEM"
"2593","2593","RANSOM, TRAVIS","REP","H0TX04193","TX","4","RANSOM","GOP"
"2594","2594","FALLON, PATRICK","REP","H0TX04219","TX","4","FALLON","GOP"
"2595","2595","MCLENDON, FLOYD JR.","REP","H0TX32079","TX","4","MCLENDON","GOP"
"2596","2596","THOMAS, DANIEL M.","REP","H2TX04132","TX","4","THOMAS","GOP"
"2597","2597","HARPER, JOHN EDWARD SR.","REP","H2TX04140","TX","4","HARPER","GOP"
"2598","2598","RATCLIFFE, JOHN L","REP","H4TX04153","TX","4","RATCLIFFE","GOP"
"2599","2599","JONES, TRACY SHAWN","W","H0TX04243","TX","4","JONES","W"
"2600","2600","SALTER, CAROLYN","DEM","H0TX05109","TX","5","SALTER","DEM"
"2601","2601","GEARING, CHARLES M.","DEM","H2TX05220","TX","5","GEARING","DEM"
