"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women"
"60","Marc Veasey","Male","Black","","","Yes","No","Texas","3/1/22","Representative","33","16,806","70%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"61","Laura Cisneros","Female","Latino","","","No","Yes","Texas","3/1/22","Representative","34","8,456","23%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"62","Vicente Gonzalez","Male","Latino","","","Yes","No","Texas","3/1/22","Representative","34","23,531","65%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"63","Filemon Meza","Male","Latino","","","No","Yes","Texas","3/1/22","Representative","34","920","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"64","Beatriz Reynoso","Female","Latino","","","No","Yes","Texas","3/1/22","Representative","34","1,287","4%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"65","Osbert Rodriguez Haro","Male","Latino","","","No","Yes","Texas","3/1/22","Representative","34","331","1%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"66","William Thompson","Male","White","","","No","Yes","Texas","3/1/22","Representative","34","1,085","3%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"67","Diego Zavala","Male","Latino (Mexican)","","","No","Yes","Texas","3/1/22","Representative","34","718","2%","Lost","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"68","Greg Casar","Male","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","35","25,505","61%","Won","N/A","N/A","N/A","N/A","Yes","Yes","N/A","Yes","Yes","Yes","Yes","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
"69","Eddie Rodriguez","Male","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","35","6,526","16%","Lost","N/A","N/A","N/A","N/A","No","No","N/A","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA
